1kp,Species,seqid
QSKP,Polanisia trachysperma,2026155912
JOIS,Koeberlinia spinosa,575770986
CRNC,Limnanthes douglasii,575770986
CZPV,Moringa oleifera,1610617930
SWPE,Reseda odorata,2017991385
MYZV,Tropaeolum peregrinum,1919575220
IHCQ,Crossopetalum rhacoma,2088245119
MFEA,Stackhousia spathulata,2088245119
VYGG,Stachyurus praecox,2127885836
PTLU,Staphylea trifolia,1980534834
NJJO,Pilostyles thurberi,2127872785
OCTM,Begonia sp.,2055402378
NNGU,Coriaria nepalensis,2127872785
AXAF,Thladiantha villosula,1829773086
PJSX,Acacia pycnantha,1834969749
NXOH,Apios americana,735955359
HJMP,Astragalus membranaceus,2127880637
MYMP,Astragalus propinquus,2127880637
JETM,Bauhinia tomentosa,1418578088
TVSH,Bituminaria bituminosa,1834974723
RKFX,Cercis canadensis,1824667108
SLYR,Cladrastis lutea,2120478466
SUAK,Codariocalyx motorius,2104506276
RKLL,Copaifera officinalis,1834969077
XOOE,Desmanthus illinoensis,2088257583
VHZV,Gleditsia sinensis,1834966323
GEHT,Gleditsia triacanthos,1834966323
KEGA,Glycine soja,558604116
PEZP,Glycyrrhiza glabra,628249885
JTQQ,Glycyrrhiza lepidota,1168043754
VLNB,Gompholobium polymorphum,1834973215
QZXQ,Gymnocladus dioicus,2055403513
KNMB,Lathyrus sativus,295136900
TTRG,Lupinus angustifolius,1315128492
CMFF,Lupinus polyphyllus,1315128492
Phavu,Phaseolus vulgaris,139387430
KZED,Senna hebecarpa,2026151689
RMWJ,Wisteria floribunda,910355094
ZSSR,Xanthocercis zambesiaca,1904814531
OHAE,Polygala lutea,2088242145
OQHZ,Quillaja saponaria,1834971943
LWDA,Alnus serrulata,1583107382
CWZU,Betula pendula,1747457010
LNER,Casuarina equisetifolia,2127868935
NHUA,Castanea crenata,2026152597
UZWG,Castanea pumila,2026152681
SVVG,Fagus sylvatica,1610618378
HENI,Quercus shumardii,2127876579
VWIP,Carya glabra,2055417210
DXQW,Juglans nigra,1252313894
INSP,Myrica cerifera,1919567608
TJLC,Nothofagus obliqua,2127893634
YGCX,Geranium maculatum,2055417608
HDWF,Francoa appendiculata,501770833
FONV,Greyia sutherlandii,570880090
WWKL,Tapiscia sinensis,1347726180
NFXV,Mammea americana,1863133784
ZBVT,Chrysobalanus icaco,630716125
HBUQ,Licania michauxii,1043376802
OSIP,Garcinia livingstonei,2127893550
FWCQ,Garcinia oblongifolia,1904809135
RPPC,Erythroxylum coca,1043378350
VVPY,Croton tiglium,1535789212
RHAU,Euphorbia mesembryanthemifolia,2120466273
PXYR,Euphorbia pekinensis,2127886096
Manes,Manihot esculenta,169794052
XNLP,Manihot grahamii,169794052
PAZJ,Ricinus communis,372450118
BNDE,Hypericum perforatum,1863133700
OODC,Linum bienne,2127882985
MYVH,Linum grandiflorum,2127882180
HNCF,Linum hirsutum,2127882985
AEPI,Linum leonii,2127882985
BHYC,Linum lewisii,2127878463
KCPT,Linum macraei,2127882985
BVOF,Linum perenne,2127882985
TXMP,Linum strictum,2127882985
POZS,Linum usitatissimum,1284805301
COAQ,Malesherbia fasciculata,2018118367
XPBC,Galphimia gracilis,1707507094
TVCU,Ochna mossambicensis,2055411440
CKDK,Ochna serrulata,2055411440
SIZE,Passiflora caerulea,2018118367
EZZT,Passiflora edulis,1181491298
VNMY,Bischofia javanica,2088259951
RVGH,Drypetes deplanchei,1942106654
ZTLR,Rhizophora mangle,2091525933
Poptr,Populus trichocarpa,134093177
INQX,Salix acutifolia,2055411440
IEPQ,Salix dasyclados,2055411266
GLVK,Salix eriocephala,2055411353
RZTJ,Salix fargesii,2055411440
LFOG,Salix purpurea,772657659
TDTF,Salix sachalinensis,2055411440
KKDQ,Salix viminalis,2055411440
NJLF,Viola canadensis,2091536132
LPGY,Viola tricolor,2091536132
KPTE,Bixa orellana,1610627172
PKMO,Cistus inflatus,992331552
WYIG,Dombeya burgessiae,2104505634
OLXF,Hibiscus cannabinus,1812101352
ZSAB,Hoheria angustifolia,2127873497
Theca,Theobroma cacao,342240206
ATFX,Muntingia calabura,2088240868
PUDI,Daphne giraldii,1714234779
AWJM,Edgeworthia papyrifera,1919568127
QJXB,Wikstroemia indica,1824660912
AJJE,Terminalia neotaliala,2018130888
UAXP,Gyrostemon ramulosus,575770986
NIJU,Heteropyxis natalensis,1707512222
RJNQ,Lagerstroemia indica,1043373013
YNUE,Punica granatum,1215836821
WWQZ,Medinilla magnifica,1863134556
SWGX,Tetrazygia bicolor,1110993866
Eucgr,Eucalyptus gracilis,2127896664
AYMT,Eucalyptus leucoxylon,2127896664
JLLY,Melaleuca quinquenervia,1999115176
NEBM,Syzygium micranthum,2127893465
FGDU,Syzygium paniculatum,2127893465
GVCB,Oenothera affinis,2091536405
BZDF,Oenothera biennis,169142924
KBRW,Oenothera clelandii,2091536405
ROLB,Oenothera elata,2091536405
IDAU,Oenothera elata hookeri,2091536405
AXNH,Oenothera filiformis,2091536405
PMTB,Oenothera gaura,2091536405
ZINQ,Oenothera grandiflora,992330124
IMZV,Oenothera grandis,2091536405
ARYD,Oenothera laciniata,2091536405
CJGZ,Oenothera nana,2091536405
DZLN,Oenothera picensis,2091536405
YHLF,Oenothera rhombipetala,2091536405
UJGI,Oenothera rosea,2091536405
SJAN,Oenothera serrulata,2091536405
TLCA,Oenothera speciosa,2091536405
HKMQ,Oenothera villaricae,1043374173
YZVJ,Cephalotus follicularis,1682359957
TIUZ,Cunonia capensis,2127862756
THHD,Elaeocarpus sylvestris,2127862578
BJSW,Cannabis sativa,814071848
KYAD,Celtis occidentalis,2018128112
AQGE,Humulus lupulus,937547443
RBYC,Elaeagnus pungens,2127885537
EDHN,Ficus religiosa,1150150649
XVJB,Morus nigra,821318536
WVEF,Rhamnus caroliniana,2091527629
EILE,Rhamnus japonica,2091527629
ZHEE,Ziziphus jujuba,1035950955
EAVM,Amelanchier canadensis,1783493592
ZPKK,Aruncus dioicus,2026154365
XFFT,Cercocarpus ledifolius,408830302
QIEH,Cotoneaster transcaucasicus,1829771709
SQCF,Dryas octopetala,408830302
DHAW,Geum quellyon,2018121764
TJQY,Kerria japonica,1834978177
SXCE,Physocarpus opulifolius,2026151242
Prupe,Prunus persica,313183801
NCVK,Prunus prostrata,1834978177
IANR,Rosa palustris,1714604020
QNOC,Sanguisorba minor,2088233420
BLVL,Sorbus koehneana,1980532720
ACFP,Boehmeria nivea,2088237302
WKCY,Urtica dioica,2055414093
WAXR,Litchi chinensis,1215836643
YUOM,Rhus radicans,2018130551
FCCA,Boswellia sacra,1002164032
JSZD,Bursera simaruba,1863125509
BCAA,Kirkia wilmsii,1919570019
UVDC,Azadirachta indica,595789659
RJIM,Melia azedarach,1915404770
OBTI,Peganum harmala,2088242246
UHJR,Citrus x paradisi,1181491559
PGKL,Phellodendron amurense,1236517187
VFFP,Acer negundo,1942103802
HBHB,Aesculus pavia,2055410481
QICX,Ailanthus altissima,1418575599
IKFD,Quassia amara,1418575599
BGZG,Cissus quadrangularis,1252411966
BBBA,Tetrastigma obtectum,2088247917
SZPD,Tetrastigma voinierianum,2088247917
Vitvi,Vitis vinifera,91983971
ZHMB,Krameria lanceolata,1707507515
UDUT,Larrea tridentata,937547077
KVAY,Tribulus eichlerianus,1829766999
SJEV,Canella winterana,1919613422
WKSU,Drimys winteri,115604913
WAIL,Laurelia sempervirens,2127880972
FALI,Calycanthus floridus,32480822
WPHN,Idiospermum australiense,1693290306
MAQO,Gomortega keule,2127880972
BSVG,Gyrocarpus americanus,2127880972
VYLQ,Cassytha filiformis,1252315776
BCGB,Cinnamomum camphora,1241932260
KAYP,Lindera benzoin,1783489566
